filename,treatment,treatment2,treatment3,spoken_comment,written_comment,opened,clicked,unsub,gender,english,age,yearbuilt,units,lowrise,mid_highrise,dem,rep,npp,vote_2020_general,vote_2017_municipal,vote_2016_general
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,31,1959,12,1,0,0,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,33,1946,8,1,0,0,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,36,1956,5,1,0,0,1,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,21,1960,11,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,37,1945,11,1,0,0,0,1,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,31,1963,8,1,0,0,0,1,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,36,1929,22,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,36,1925,9,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,1,0,1,39,1959,9,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,31,1965,7,1,0,0,0,1,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,38,1963,12,1,0,0,0,1,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,50,1923,6,1,0,0,1,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,36,1964,17,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,42,1963,12,1,0,0,0,1,1,0,0
longbeach_9.07_t1,t1,t1,treatment,0,0,0,0,0,0,1,70,1947,8,1,0,0,0,0,1,0,0
longbeach_9.07_t1,t1,t1,treatment,0,0,0,0,0,1,1,24,1972,87,1,0,0,0,1,1,0,0
longbeach_9.07_t1,t1,t1,treatment,0,0,0,0,0,0,1,34,1923,8,1,0,1,0,0,0,0,0
longbeach_9.07_t1,t1,t1,treatment,0,0,0,0,0,1,1,26,1964,16,1,0,1,0,0,1,0,1
longbeach_9.07_t1,t1,t1,treatment,0,0,0,0,0,0,1,36,1972,16,1,0,1,0,0,0,0,0
longbeach_9.07_t1,t1,t1,treatment,0,0,1,0,0,0,1,19,1963,8,1,0,1,0,0,1,0,0
